CustomerID,LastTransaction,Frequency,Monetary_Sum,Monetary_Min,Monetary_Max,Monetary_Median,Recency_Days,Recency_Months,Outlier_Flag,Cluster,Segment_Name
12347.0,2011-12-07 15:52:00,7,4310.0,5.04,249.60000000000002,17.0,2,0.07,1,1,Champions / Loyal
12348.0,2011-09-25 13:13:00,4,1797.24,13.200000000000001,240.0,41.76,75,2.46,1,2,Recent / Potential Loyal
12349.0,2011-11-21 09:51:00,1,1757.55,6.64,300.0,17.700000000000003,18,0.59,1,3,At Risk / Occasional
12350.0,2011-02-02 16:01:00,1,334.4,8.5,40.0,19.799999999999997,310,10.18,1,0,Lost / Low Value
12352.0,2011-11-03 14:37:00,8,2506.04,9.9,376.5,17.700000000000003,36,1.18,1,1,Champions / Loyal
12353.0,2011-05-19 17:47:00,1,89.0,11.6,39.8,18.8,204,6.7,1,0,Lost / Low Value
12354.0,2011-04-21 13:11:00,1,1079.4,8.5,54.08,16.95,232,7.62,1,0,Lost / Low Value
12355.0,2011-05-09 13:49:00,1,459.4,17.700000000000003,120.0,25.5,214,7.03,1,0,Lost / Low Value
12356.0,2011-11-17 08:40:00,3,2811.43,3.75,324.0,34.8,22,0.72,1,1,Champions / Loyal
12357.0,2011-11-06 16:07:00,1,6207.67,10.08,237.60000000000002,35.400000000000006,33,1.08,1,2,Recent / Potential Loyal
12358.0,2011-12-08 10:26:00,2,1168.06,9.36,160.0,71.4,1,0.03,1,1,Champions / Loyal
12359.0,2011-10-13 12:47:00,4,6372.58,6.959999999999999,290.0,17.700000000000003,57,1.87,1,1,Champions / Loyal
12360.0,2011-10-18 15:22:00,3,2662.06,5.04,160.0,15.6,52,1.71,1,2,Recent / Potential Loyal
12361.0,2011-02-25 13:51:00,1,189.9,15.0,23.4,17.700000000000003,287,9.43,1,0,Lost / Low Value
12362.0,2011-12-06 15:40:00,10,5226.23,2.88,60.0,16.95,3,0.1,1,1,Champions / Loyal
12363.0,2011-08-22 10:18:00,2,552.0,13.200000000000001,69.36,17.4,109,3.58,1,2,Recent / Potential Loyal
12364.0,2011-12-02 10:22:00,4,1313.1,5.04,64.8,13.200000000000001,7,0.23,1,1,Champions / Loyal
